id,name,bezirk,bezirksregion,prognoseraum,size
10010310,Alt-Marzahn,Marzahn-Hellersdorf,Marzahn Süd,Marzahn,2238368.26
10010101,Marzahn West,Marzahn-Hellersdorf,Marzahn Nord,Marzahn,694985.47
10010206,Ringkolonnaden,Marzahn-Hellersdorf,Marzahn Mitte,Marzahn,1486009.41
10010204,Wuhletalstraße,Marzahn-Hellersdorf,Marzahn Mitte,Marzahn,845563.37
10010102,Havemannstraße,Marzahn-Hellersdorf,Marzahn Nord,Marzahn,1898742.52
10010311,Landsberger Tor,Marzahn-Hellersdorf,Marzahn Süd,Marzahn,1608201.44
10010205,Marzahn Ost,Marzahn-Hellersdorf,Marzahn Mitte,Marzahn,1098556.14
10020413,Gut Hellersdorf,Marzahn-Hellersdorf,Hellersdorf Nord,Hellersdorf,1618142.04
10020412,Alte Hellersdorfer Straße,Marzahn-Hellersdorf,Hellersdorf Nord,Hellersdorf,445221.41
10020519,Boulevard Kastanienallee,Marzahn-Hellersdorf,Hellersdorf Ost,Hellersdorf,526202.95
10020414,Helle Mitte,Marzahn-Hellersdorf,Hellersdorf Nord,Hellersdorf,163703.72
10020415,Hellersdorfer Promenade,Marzahn-Hellersdorf,Hellersdorf Nord,Hellersdorf,451604.89
10020517,Adele-Sandrock-Straße,Marzahn-Hellersdorf,Hellersdorf Ost,Hellersdorf,1110636.67
10020416,Böhlener Straße,Marzahn-Hellersdorf,Hellersdorf Nord,Hellersdorf,919160.94
9031202,Schmöckwitz/Rauchfangswerder,Treptow-Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,Treptow-Köpenick 3,14762023.26
9031101,Grünau,Treptow-Köpenick,Grünau,Treptow-Köpenick 3,9167272.65
9041601,Müggelheim,Treptow-Köpenick,Müggelheim,Treptow-Köpenick 4,22184659.33
9031201,Karolinenhof,Treptow-Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,Treptow-Köpenick 3,2355967.51
9031001,Bohnsdorf,Treptow-Köpenick,Bohnsdorf,Treptow-Köpenick 3,6659431.47
8041038,Waßmannsdorfer Chaussee,Neukölln,Rudow,Buckow Nord/Rudow,2775322.71
9030903,Kölner Viertel,Treptow-Köpenick,Altglienicke,Treptow-Köpenick 3,1572124.35
9030902,Wohngebiet II,Treptow-Köpenick,Altglienicke,Treptow-Köpenick 3,380790.09
8041039,Frauenviertel,Neukölln,Rudow,Buckow Nord/Rudow,471744.12
9041301,Kietzer Feld/Nachtheide,Treptow-Köpenick,Köpenick Süd,Treptow-Köpenick 4,17013466.88
9030901,Dorf Altglienicke,Treptow-Köpenick,Altglienicke,Treptow-Köpenick 3,5777965.05
8041040,Waltersdorfer Chaussee Ost,Neukölln,Rudow,Buckow Nord/Rudow,2243920.47
9041302,Wendenschloß,Treptow-Köpenick,Köpenick Süd,Treptow-Köpenick 4,965379.81
9051801,Rahnsdorf/Hessenwinkel,Treptow-Köpenick,Rahnsdorf/Hessenwinkel,Treptow-Köpenick 5,21438668.76
8041037,Alt-Rudow,Neukölln,Rudow,Buckow Nord/Rudow,2506644.96
9020701,Adlershof West,Treptow-Köpenick,Adlershof,Treptow-Köpenick 2,2670775.83
9020702,Adlershof Ost,Treptow-Köpenick,Adlershof,Treptow-Köpenick 2,3486440.87
9020802,Köllnische Vorstadt,Treptow-Köpenick,Köllnische Vorstadt/Spindlersfeld,Treptow-Köpenick 2,1554713.4
9010402,Johannisthal Ost,Treptow-Köpenick,Johannisthal,Treptow-Köpenick 1,3233155.04
9041403,Allende II,Treptow-Köpenick,Allende-Viertel,Treptow-Köpenick 4,1990547.96
9010401,Johannisthal West,Treptow-Köpenick,Johannisthal,Treptow-Köpenick 1,3244549.68
9051702,Bölschestraße,Treptow-Köpenick,Friedrichshagen,Treptow-Köpenick 5,12225582.56
9041501,Altstadt Kietz,Treptow-Köpenick,Altstadt Kietz,Treptow-Köpenick 4,796889.28
9041401,Allende I,Treptow-Köpenick,Allende-Viertel,Treptow-Köpenick 4,513085.73
9041402,Siedlung Kämmereiheide,Treptow-Köpenick,Allende-Viertel,Treptow-Köpenick 4,937898.23
9020602,Oberspree,Treptow-Köpenick,Niederschöneweide,Treptow-Köpenick 2,1589839.33
9051701,Hirschgarten,Treptow-Köpenick,Friedrichshagen,Treptow-Köpenick 5,1808686.86
9051901,Dammvorstadt,Treptow-Köpenick,Dammvorstadt,Treptow-Köpenick 5,2783283.23
9020801,Spindlersfeld,Treptow-Köpenick,Köllnische Vorstadt/Spindlersfeld,Treptow-Köpenick 2,571861
9020601,Schnellerstraße,Treptow-Köpenick,Niederschöneweide,Treptow-Köpenick 2,1905633.94
9020502,Oberschöneweide Ost,Treptow-Köpenick,Oberschöneweide,Treptow-Köpenick 2,5602428.09
9052001,Köpenick Nord,Treptow-Köpenick,Köpenick Nord,Treptow-Köpenick 5,7966656.53
9020501,Oberschöneweide West,Treptow-Köpenick,Oberschöneweide,Treptow-Köpenick 2,2324756.3
11051332,Karlshorst Süd,Lichtenberg,Karlshorst,Lichtenberg Süd,2295450.03
10040933,Mahlsdorf Süd,Marzahn-Hellersdorf,Mahlsdorf,Kaulsdorf/Mahlsdorf,6855914.39
10030727,Biesdorf Süd,Marzahn-Hellersdorf,Biesdorf,Biesdorf,5203279.76
11051331,Karlshorst Nord,Lichtenberg,Karlshorst,Lichtenberg Süd,3294952.13
10040830,Kaulsdorf Süd,Marzahn-Hellersdorf,Kaulsdorf,Kaulsdorf/Mahlsdorf,4857612
11051330,Karlshorst West,Lichtenberg,Karlshorst,Lichtenberg Süd,994143.45
11051229,Rummelsburg,Lichtenberg,Rummelsburger Bucht,Lichtenberg Süd,2382364.95
11041128,Sewanstraße,Lichtenberg,Friedrichsfelde Süd,Lichtenberg Mitte,2214718.86
11041027,Tierpark,Lichtenberg,Friedrichsfelde Nord,Lichtenberg Mitte,1733156.02
11040926,Weitlingstraße,Lichtenberg,Neu-Lichtenberg,Lichtenberg Mitte,2240857.71
10030726,Alt-Biesdorf,Marzahn-Hellersdorf,Biesdorf,Biesdorf,2394180.86
10040932,Alt-Mahlsdorf,Marzahn-Hellersdorf,Mahlsdorf,Kaulsdorf/Mahlsdorf,1899353.83
11030824,Frankfurter Allee Süd,Lichtenberg,Frankfurter Allee Süd,Lichtenberg Nord,1053030.49
10040829,Alt-Kaulsdorf,Marzahn-Hellersdorf,Kaulsdorf,Kaulsdorf/Mahlsdorf,1350969.73
10010308,Marzahner Chaussee,Marzahn-Hellersdorf,Marzahn Süd,Marzahn,4001028.24
11041023,Gensinger Straße,Lichtenberg,Friedrichsfelde Nord,Lichtenberg Mitte,450144.96
11041022,Rosenfelder Ring,Lichtenberg,Friedrichsfelde Nord,Lichtenberg Mitte,561122.02
10040828,Kaulsdorf Nord,Marzahn-Hellersdorf,Kaulsdorf,Kaulsdorf/Mahlsdorf,2549031.08
10040931,Mahlsdorf Nord,Marzahn-Hellersdorf,Mahlsdorf,Kaulsdorf/Mahlsdorf,4218639.18
11030721,Rüdigerstraße,Lichtenberg,Alt-Lichtenberg,Lichtenberg Nord,2423269.81
10020622,Kaulsdorf Nord I,Marzahn-Hellersdorf,Hellersdorf Süd,Hellersdorf,1011268.76
10030725,Buckower Ring,Marzahn-Hellersdorf,Biesdorf,Biesdorf,2056823.13
10030724,Oberfeldstraße,Marzahn-Hellersdorf,Biesdorf,Biesdorf,2746824.96
11030720,Herzbergstraße,Lichtenberg,Alt-Lichtenberg,Lichtenberg Nord,3924620.92
10010309,Springpfuhl,Marzahn-Hellersdorf,Marzahn Süd,Marzahn,1200931.68
10020623,Rotes Viertel,Marzahn-Hellersdorf,Hellersdorf Süd,Hellersdorf,376752.2
10020621,Gelbes Viertel,Marzahn-Hellersdorf,Hellersdorf Süd,Hellersdorf,498870.7
10020620,Kaulsdorf Nord II,Marzahn-Hellersdorf,Hellersdorf Süd,Hellersdorf,520494.44
10020518,Schleipfuhl,Marzahn-Hellersdorf,Hellersdorf Ost,Hellersdorf,476115.29
3071638,Winsstraße,Pankow,Prenzlauer Berg Süd,Südlicher Prenzlauer Berg,648442.66
3061435,Conrad-Blenkle-Straße,Pankow,Prenzlauer Berg Ost,Nördlicher Prenzlauer Berg,552065.24
3071537,Kollwitzplatz,Pankow,Prenzlauer Berg Südwest,Südlicher Prenzlauer Berg,820670.23
1011401,Invalidenstraße,Mitte,Brunnenstraße Süd,Zentrum,1151740.51
3061430,Volkspark Prenzlauer Berg,Pankow,Prenzlauer Berg Ost,Nördlicher Prenzlauer Berg,1211188.78
3071639,Bötzowstraße,Pankow,Prenzlauer Berg Süd,Südlicher Prenzlauer Berg,570621.96
3071536,Teutoburger Platz,Pankow,Prenzlauer Berg Südwest,Südlicher Prenzlauer Berg,548783.88
11030617,Hohenschönhausener Straße,Lichtenberg,Fennpfuhl,Lichtenberg Nord,416868.78
1011402,Arkonaplatz,Mitte,Brunnenstraße Süd,Zentrum,601605.48
3061434,Anton-Saefkow-Park,Pankow,Prenzlauer Berg Ost,Nördlicher Prenzlauer Berg,550875.77
11020515,Landsberger Allee,Lichtenberg,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,939924.21
1033202,Humboldthain Süd,Mitte,Brunnenstraße Nord,Gesundbrunnen,1104316.35
11020516,Weiße Taube,Lichtenberg,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,1033945.56
11020514,Große-Leege-Straße,Lichtenberg,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,687053.87
11020513,Orankesee,Lichtenberg,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,1935801.83
3071633,Thälmannpark,Pankow,Prenzlauer Berg Süd,Südlicher Prenzlauer Berg,438165.79
11020412,Hauptstraße,Lichtenberg,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2518353.76
3061429,Greifswalder Straße,Pankow,Prenzlauer Berg Ost,Nördlicher Prenzlauer Berg,853513.84
10010203,Gewerbegebiet Bitterfelder Straße,Marzahn-Hellersdorf,Marzahn Mitte,Marzahn,3599301.79
3050925,Komponistenviertel Weißensee,Pankow,Weißensee,Südliches Weißensee,1119408.64
1033201,Brunnenstraße,Mitte,Brunnenstraße Nord,Gesundbrunnen,774866.53
10010207,Marzahner Promenade,Marzahn-Hellersdorf,Marzahn Mitte,Marzahn,860657.59
3061332,Helmholtzplatz,Pankow,Helmholtzplatz,Nördlicher Prenzlauer Berg,713473.08
3061228,Erich-Weinert-Straße,Pankow,Prenzlauer Berg Nord,Nördlicher Prenzlauer Berg,965810.26
3061131,Falkplatz,Pankow,Prenzlauer Berg Nordwest,Nördlicher Prenzlauer Berg,907550.08
3061227,Humannplatz,Pankow,Prenzlauer Berg Nord,Nördlicher Prenzlauer Berg,693410.07
3050924,Behaimstraße,Pankow,Weißensee,Südliches Weißensee,438961.31
3051022,Hansastraße,Pankow,Weißensee Ost,Südliches Weißensee,690982.75
3050923,Weißenseer Spitze,Pankow,Weißensee,Südliches Weißensee,624483.4
3061126,Arnimplatz,Pankow,Prenzlauer Berg Nordwest,Nördlicher Prenzlauer Berg,1022264.81
1033102,Gesundbrunnen,Mitte,Osloer Straße,Gesundbrunnen,657648.27
7070707,Wittelsbacherstraße,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,970331
7070706,Horstwalder Straße/Paplitzer Straße,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,938226.81
7070705,Franziusweg/Rohrbachstraße,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,1780835.9
7070703,John-Locke-Straße,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,1123364.89
7070704,Nahariyastraße,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,899956
7070701,Kettinger Straße/Schillerstraße,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,2346735.67
7070702,Alt-Lichtenrade/Töpchiner Weg,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,1985729.55
8041036,Zittauer Straße,Neukölln,Rudow,Buckow Nord/Rudow,1921668.49
8020727,Buckow Mitte,Neukölln,Buckow,Britz/Buckow,2031346.35
8020726,Buckow West,Neukölln,Buckow,Britz/Buckow,1457343.08
8020728,Buckow Ost,Neukölln,Buckow,Britz/Buckow,1106606.02
7050506,Birnhornweg,Tempelhof-Schöneberg,Mariendorf,Mariendorf,554477.24
7050505,Hundsteinweg,Tempelhof-Schöneberg,Mariendorf,Mariendorf,2252684.47
8030831,Gropiusstadt Ost,Neukölln,Gropiusstadt,Gropiusstadt,1132631.37
8030830,Gropiusstadt Süd,Neukölln,Gropiusstadt,Gropiusstadt,676876.83
8020624,Britzer Garten,Neukölln,Britz,Britz/Buckow,2987554.22
8041035,Blumenviertel,Neukölln,Rudow,Buckow Nord/Rudow,2118705.02
8020625,Handwerker-Siedlung,Neukölln,Britz,Britz/Buckow,1375912.1
8030829,Gropiusstadt Nord,Neukölln,Gropiusstadt,Gropiusstadt,846826.23
8040933,Vogelviertel Süd,Neukölln,Buckow Nord,Buckow Nord/Rudow,826305.33
8020621,Mohriner Allee Nord,Neukölln,Britz,Britz/Buckow,1172310.54
8040934,Vogelviertel Nord,Neukölln,Buckow Nord,Buckow Nord/Rudow,440390.33
8020622,Parchimer Allee,Neukölln,Britz,Britz/Buckow,2144026.93
8020623,Ortolanweg,Neukölln,Britz,Britz/Buckow,1186193.54
8020620,Tempelhofer Weg,Neukölln,Britz,Britz/Buckow,1808783.4
9010302,Späthsfelde,Treptow-Köpenick,Baumschulenweg,Treptow-Köpenick 1,2721099.83
7050504,Imbrosweg,Tempelhof-Schöneberg,Mariendorf,Mariendorf,1232595.3
8040932,Goldhähnchenweg,Neukölln,Buckow Nord,Buckow Nord/Rudow,133799.71
7050503,Eisenacher Straße,Tempelhof-Schöneberg,Mariendorf,Mariendorf,1538514.59
8020619,Buschkrugallee Nord,Neukölln,Britz,Britz/Buckow,1845319.95
7040406,Germaniagarten,Tempelhof-Schöneberg,Tempelhof,Tempelhof,659795.26
2030402,Wrangelkiez,Friedrichshain-Kreuzberg,Südliche Luisenstadt,Kreuzberg Ost,526529
2050803,Stralauer Kiez,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Friedrichshain Ost,1354726.79
2010104,Wassertorplatz,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Kreuzberg Nord,388873.74
2030301,Oranienplatz,Friedrichshain-Kreuzberg,Nördliche Luisenstadt,Kreuzberg Ost,480676.24
2010102,Mehringplatz,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Kreuzberg Nord,1036267.66
2010101,Askanischer Platz,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Kreuzberg Nord,707419.2
2030302,Lausitzer Platz,Friedrichshain-Kreuzberg,Nördliche Luisenstadt,Kreuzberg Ost,821854.35
2010103,Moritzplatz,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Kreuzberg Nord,796853.52
11040925,Victoriastadt,Lichtenberg,Neu-Lichtenberg,Lichtenberg Mitte,393879.91
2040703,Wriezener Bahnhof/Entwicklungsgebiet,Friedrichshain-Kreuzberg,Karl-Marx-Allee Süd,Friedrichshain West,888006.83
2050802,Boxhagener Platz,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Friedrichshain Ost,832852.89
1011306,Heine-Viertel Ost,Mitte,Alexanderplatz,Zentrum,717643.38
2050801,Traveplatz,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Friedrichshain Ost,783421.41
1011305,Heine-Viertel West,Mitte,Alexanderplatz,Zentrum,643994.92
2040702,Weberwiese,Friedrichshain-Kreuzberg,Karl-Marx-Allee Süd,Friedrichshain West,541410.67
2040701,Andreasviertel,Friedrichshain-Kreuzberg,Karl-Marx-Allee Süd,Friedrichshain West,978246.45
1011201,Wilhelmstraße,Mitte,Regierungsviertel,Zentrum,634326.8
1011204,Leipziger Straße,Mitte,Regierungsviertel,Zentrum,763845.47
1011304,Karl-Marx-Allee,Mitte,Alexanderplatz,Zentrum,807481.05
1011203,Unter den Linden Süd,Mitte,Regierungsviertel,Zentrum,548158.88
2050602,Samariterviertel,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Friedrichshain Ost,969832.32
1011303,Alexanderplatzviertel,Mitte,Alexanderplatz,Zentrum,1361534.2
2040503,Richard-Sorge-Viertel,Friedrichshain-Kreuzberg,Karl-Marx-Allee Nord,Friedrichshain West,554502.35
1011202,Unter den Linden Nord,Mitte,Regierungsviertel,Zentrum,744742.1
2040502,Friedenstraße,Friedrichshain-Kreuzberg,Karl-Marx-Allee Nord,Friedrichshain West,674021.78
2050601,Hausburgviertel,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Friedrichshain Ost,309333.86
3061441,Eldenaer Straße,Pankow,Prenzlauer Berg Ost,Nördlicher Prenzlauer Berg,577018.47
2040501,Barnimkiez,Friedrichshain-Kreuzberg,Karl-Marx-Allee Nord,Friedrichshain West,940904.43
1011302,Oranienburger Straße,Mitte,Alexanderplatz,Zentrum,1012783.83
11030618,Fennpfuhl West,Lichtenberg,Fennpfuhl,Lichtenberg Nord,1167779.14
11030619,Fennpfuhl Ost,Lichtenberg,Fennpfuhl,Lichtenberg Nord,556571.71
11020411,Malchower Weg,Lichtenberg,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2233016.59
3050920,Weißer See,Pankow,Weißensee,Südliches Weißensee,1053976.83
3051017,Rennbahnstraße,Pankow,Weißensee Ost,Südliches Weißensee,2442521.9
3040818,Pankow Süd,Pankow,Pankow Süd,Südliches Pankow,3029694.53
3051021,Buschallee,Pankow,Weißensee Ost,Südliches Weißensee,574678.33
3050919,Gustav-Adolf-Straße,Pankow,Weißensee,Südliches Weißensee,991711.67
11010310,Mühlengrund,Lichtenberg,Neu-Hohenschönhausen Süd,Hohenschönhausen Nord,705084.04
11010205,Falkenberg West,Lichtenberg,Neu-Hohenschönhausen Nord,Hohenschönhausen Nord,775937.38
1033101,Soldiner Straße,Mitte,Osloer Straße,Gesundbrunnen,1707059.31
3030715,Heinersdorf,Pankow,Blankenburg/Heinersdorf/Märchenland,Nördliches Weißensee,3906196.59
11010204,Falkenberg Ost,Lichtenberg,Neu-Hohenschönhausen Nord,Hohenschönhausen Nord,909634.85
3040614,Pankow Zentrum,Pankow,Pankow Zentrum,Südliches Pankow,3938589.81
11010309,Zingster Straße West,Lichtenberg,Neu-Hohenschönhausen Süd,Hohenschönhausen Nord,902698.77
11010308,Zingster Straße Ost,Lichtenberg,Neu-Hohenschönhausen Süd,Hohenschönhausen Nord,730730.39
3030716,Märchenland,Pankow,Blankenburg/Heinersdorf/Märchenland,Nördliches Weißensee,5823857.11
11010103,Dorf Falkenberg,Lichtenberg,"Malchow, Wartenberg und Falkenberg",Hohenschönhausen Nord,3056684.26
11010207,Wartenberg Nord,Lichtenberg,Neu-Hohenschönhausen Nord,Hohenschönhausen Nord,658504.78
11010206,Wartenberg Süd,Lichtenberg,Neu-Hohenschönhausen Nord,Hohenschönhausen Nord,456781.34
11010101,Dorf Malchow,Lichtenberg,"Malchow, Wartenberg und Falkenberg",Hohenschönhausen Nord,1475903.28
3040513,Schönholz,Pankow,Schönholz/Wilhelmsruh/Rosenthal,Südliches Pankow,1909168.2
11010102,Dorf Wartenberg,Lichtenberg,"Malchow, Wartenberg und Falkenberg",Hohenschönhausen Nord,6971430.14
3020209,Niederschönhausen,Pankow,Blankenfelde/Niederschönhausen,Nördliches Pankow,3513461.86
3030711,Blankenburg,Pankow,Blankenburg/Heinersdorf/Märchenland,Nördliches Weißensee,5879839.08
3020210,Herthaplatz,Pankow,Blankenfelde/Niederschönhausen,Nördliches Pankow,3080636.19
3020307,Buchholz,Pankow,Buchholz,Nördliches Pankow,6465836.53
3030406,Alt-Karow,Pankow,Karow,Nördliches Weißensee,4938647.04
3020203,Blankenfelde,Pankow,Blankenfelde/Niederschönhausen,Nördliches Pankow,13061524.88
3010104,Lietzengraben,Pankow,Buch,Buch,5482059.92
3030405,Karow Nord,Pankow,Karow,Nördliches Weißensee,1667443.16
3010102,Buch,Pankow,Buch,Buch,4363553.03
3010101,Bucher Forst,Pankow,Buch,Buch,13127309.23
7040405,Rathaus Tempelhof,Tempelhof-Schöneberg,Tempelhof,Tempelhof,3059779.17
9010301,Baumschulenstraße,Treptow-Köpenick,Baumschulenweg,Treptow-Köpenick 1,2111375.01
8010510,Gewerbegebiet Köllnische Heide,Neukölln,Köllnische Heide,Neukölln,1487733.33
8010509,Schulenburgpark,Neukölln,Köllnische Heide,Neukölln,708719.58
8010118,Silbersteinstraße,Neukölln,Schillerpromenade,Neukölln,857648.77
8010214,Glasower Straße,Neukölln,Neuköllner Mitte/Zentrum,Neukölln,589088.41
7040401,Neu-Tempelhof,Tempelhof-Schöneberg,Tempelhof,Tempelhof,5462549.61
8010115,Hasenheide,Neukölln,Schillerpromenade,Neukölln,1424399.99
8010213,Körnerpark,Neukölln,Neuköllner Mitte/Zentrum,Neukölln,553472.91
8010508,Weiße Siedlung,Neukölln,Köllnische Heide,Neukölln,1120312.97
8010404,Rixdorf,Neukölln,Rixdorf,Neukölln,1001747.51
9010202,Köpenicker Landstraße,Treptow-Köpenick,Plänterwald,Treptow-Köpenick 1,2145849.85
8010117,Schillerpromenade,Neukölln,Schillerpromenade,Neukölln,501547.32
9010201,Am Treptower Park Süd,Treptow-Köpenick,Plänterwald,Treptow-Köpenick 1,854262.94
8010407,Gewerbegebiet Ederstraße,Neukölln,Rixdorf,Neukölln,239997.87
8010212,Rollberg,Neukölln,Neuköllner Mitte/Zentrum,Neukölln,371477.09
